fuente,archivo,columna,problema_detectado,regla_aplicada,justificacion,valores_afectados,operaciones_procesadas
fuente1,data/raw/fuente1/clean/populations.csv,2009,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2010,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2010,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2011,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2011,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2012,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2012,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2013,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2013,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2014,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2014,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2015,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2015,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2016,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2016,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2017,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2017,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2018,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2018,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2019,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2019,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2020,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2020,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2021,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2021,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2022,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2022,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2023,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2023,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,population,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,16930
fuente1,data/raw/fuente1/clean/results.csv,discipline,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/results.csv,medal,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,264269
fuente1,data/raw/fuente1/clean/results.csv,medal,medalla con representación heterogénea,"Normalizar a Gold, Silver, Bronze o NULL.",Coincidir con PARTICIPACION.medalla sin crear una entidad de medallas.,0,44139
fuente1,data/raw/fuente1/clean/results.csv,noc,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/results.csv,place,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,25215
fuente1,data/raw/fuente1/clean/results.csv,place,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,283193,283193
fuente1,data/raw/fuente1/clean/results.csv,team,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,186694
fuente1,data/raw/fuente1/clean/results.csv,tied,indicador booleano,Homologar valores booleanos reconocibles a True/False.,Representar empatado como atributo booleano del resultado.,0,308408
fuente1,data/raw/fuente1/clean/results.csv,type,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2601
fuente1,data/raw/fuente1/clean/results.csv,year,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2601
fuente1,data/raw/fuente1/clean/results.csv,year,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,305807,305807
fuente1,data/raw/fuente1/raw/bios.csv,Affiliations,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,49668
fuente1,data/raw/fuente1/raw/bios.csv,Born,fecha y lugar biográfico compuesto,"Extraer fecha completa, ciudad, región y país cuando sean identificables; conservar la columna original.","El modelo ER separa fecha y componentes geográficos, pero no permite inventar partes ausentes.",0,141685
fuente1,data/raw/fuente1/raw/bios.csv,Born,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1728
fuente1,data/raw/fuente1/raw/bios.csv,Died,fecha y lugar biográfico compuesto,"Extraer fecha completa, ciudad, región y país cuando sean identificables; conservar la columna original.","El modelo ER separa fecha y componentes geográficos, pero no permite inventar partes ausentes.",0,31925
fuente1,data/raw/fuente1/raw/bios.csv,Died,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,111458
fuente1,data/raw/fuente1/raw/bios.csv,Measurements,Measurements compuesto,Extraer height_cm y weight_kg cuando existan unidades cm/kg; conservar measurements_original.,Separar atributos que el modelo ER almacena como altura y peso.,0,107833
fuente1,data/raw/fuente1/raw/bios.csv,Measurements,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,37667
fuente1,data/raw/fuente1/raw/bios.csv,NOC,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/raw/bios.csv,Name order,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,137656
fuente1,data/raw/fuente1/raw/bios.csv,Nationality,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,137241
fuente1,data/raw/fuente1/raw/bios.csv,Nick/petnames,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,136355
fuente1,data/raw/fuente1/raw/bios.csv,Original name,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,114761
fuente1,data/raw/fuente1/raw/bios.csv,Other names,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,138333
fuente1,data/raw/fuente1/raw/bios.csv,Title(s),marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,145101
fuente1,data/raw/fuente1/raw/results.csv,Discipline,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/raw/results.csv,Games,Games compuesto,Separar Games en year y season y conservar games_original para trazabilidad intermedia.,El modelo final representa año y temporada por separado.,0,308407
fuente1,data/raw/fuente1/raw/results.csv,Medal,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,264269
fuente1,data/raw/fuente1/raw/results.csv,Medal,medalla con representación heterogénea,"Normalizar a Gold, Silver, Bronze o NULL.",Coincidir con PARTICIPACION.medalla sin crear una entidad de medallas.,0,44139
fuente1,data/raw/fuente1/raw/results.csv,NOC,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/raw/results.csv,Nationality,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,308327
fuente1,data/raw/fuente1/raw/results.csv,Pos,Pos clasificación: complejo_no_resuelto,Clasificar sin borrar pos_original.,Permitir transformar solo patrones seguros.,53686,53686
fuente1,data/raw/fuente1/raw/results.csv,Pos,Pos clasificación: empate,Clasificar sin borrar pos_original.,Permitir transformar solo patrones seguros.,35670,35670
fuente1,data/raw/fuente1/raw/results.csv,Pos,Pos clasificación: estado_resultado,Clasificar sin borrar pos_original.,Permitir transformar solo patrones seguros.,18343,18343
fuente1,data/raw/fuente1/raw/results.csv,Pos,Pos clasificación: posicion_numerica,Clasificar sin borrar pos_original.,Permitir transformar solo patrones seguros.,198884,198884
fuente1,data/raw/fuente1/raw/results.csv,Pos,Pos clasificación: sin_resultado,Clasificar sin borrar pos_original.,Permitir transformar solo patrones seguros.,1825,1825
fuente1,data/raw/fuente1/raw/results.csv,Pos,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1825
fuente1,data/raw/fuente1/raw/results.csv,Pos,posición compuesta desglosada,"Sustituir Pos por pos_original, posicion, empatado, estado_resultado y pos_clasificacion.",Evitar duplicar el mismo dato y conservar el valor original en pos_original.,0,308408
fuente1,data/raw/fuente1/raw/results.csv,Pos,"posición, empate y estado mezclados","Separar posicion, empatado, estado_resultado, pos_original y pos_clasificacion.",Alinear resultados con PARTICIPACION y conservar casos no resolubles para revisión.,0,308408
fuente1,data/raw/fuente1/raw/results.csv,Team,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,186694
fuente1,data/raw/fuente1/raw/results.csv,Unnamed: 7,columna técnica completamente vacía,Excluir del archivo intermedio limpio.,El modelo no conserva columnas accidentales y la fuente no aporta información.,0,308408
fuente1,data/raw/fuente1/raw/results.csv,Unnamed: 7,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,308408
fuente2,data/raw/fuente2/athlete_events.csv,*,espacios en texto,Aplicar strip() a columnas textuales sin eliminar tildes ni Unicode.,Evitar diferencias artificiales por espacios y conservar el contenido original.,81,81
fuente2,data/raw/fuente2/athlete_events.csv,Age,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,9474,9474
fuente2,data/raw/fuente2/athlete_events.csv,Age,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,261642
fuente2,data/raw/fuente2/athlete_events.csv,Games,Games compuesto,Separar Games en year y season y conservar games_original para trazabilidad intermedia.,El modelo final representa año y temporada por separado.,0,271116
fuente2,data/raw/fuente2/athlete_events.csv,Height,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,60171,60171
fuente2,data/raw/fuente2/athlete_events.csv,Height,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,210945
fuente2,data/raw/fuente2/athlete_events.csv,Medal,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,231333,231333
fuente2,data/raw/fuente2/athlete_events.csv,Medal,medalla con representación heterogénea,"Normalizar a Gold, Silver, Bronze o NULL.",Coincidir con PARTICIPACION.medalla sin crear una entidad de medallas.,0,39783
fuente2,data/raw/fuente2/athlete_events.csv,Weight,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,62875,62875
fuente2,data/raw/fuente2/athlete_events.csv,Weight,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,208241
fuente2,data/raw/fuente2/athlete_events.csv,Year,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,271116
fuente3,data/raw/fuente3/olympics_dataset.csv,Medal,medalla con representación heterogénea,"Normalizar a Gold, Silver, Bronze o NULL.",Coincidir con PARTICIPACION.medalla sin crear una entidad de medallas.,213747,252565
fuente3,data/raw/fuente3/olympics_dataset.csv,Year,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,252565
fuente4,data/raw/fuente4/datalab_export.csv,age,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,100
fuente4,data/raw/fuente4/datalab_export.csv,height,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,16
fuente4,data/raw/fuente4/datalab_export.csv,height,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,84
fuente4,data/raw/fuente4/datalab_export.csv,index,índice técnico de exportación,Excluir index del archivo intermedio.,El modelo no conserva índices técnicos; se mantiene id como identificador original temporal.,0,100
fuente4,data/raw/fuente4/datalab_export.csv,medal,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,79,79
fuente4,data/raw/fuente4/datalab_export.csv,medal,medalla con representación heterogénea,"Normalizar a Gold, Silver, Bronze o NULL.",Coincidir con PARTICIPACION.medalla sin crear una entidad de medallas.,0,21
fuente4,data/raw/fuente4/datalab_export.csv,weight,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,19
fuente4,data/raw/fuente4/datalab_export.csv,weight,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,81
fuente4,data/raw/fuente4/datalab_export.csv,year,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,0,100
