id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon,fuentes_a,fuentes_b,coexistencia_misma_fuente,tokens_extra_a,tokens_extra_b,perdida_multiplicidad,clasificacion_final,razon_refinada,semantic_key_a,semantic_key_b,modalidades_a,modalidades_b,modificadores_a,modificadores_b,clasificacion_phase4,razon_phase4
339,"400 metres, Women (Olympic)",340,"4 × 400 metres Relay, Women (Olympic)",Athletics,Athletics,WOMEN,WOMEN,0.827586,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [""relay""], [], [], [""metres"", ""x""]]",,relay,metres,metres | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
339,"400 metres, Women (Olympic)",1035,"400 metres Hurdles, Women (Olympic)",Athletics,Athletics,WOMEN,WOMEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,hurdles,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [], [], [], [""hurdles"", ""metres""]]",,,metres,hurdles | metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
496,"Pole Vault, Women (Olympic)",2971,Women's Pole Vault,Athletics,Athletics,WOMEN,WOMEN,0.47619,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""pole"", ""vault""]]","[""women"", false, false, [], [], [], [""pole"", ""vault""]]",,,pole | vault,pole | vault,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
927,"Long Jump, Women (Olympic)",2912,Women's Long Jump,Athletics,Athletics,WOMEN,WOMEN,0.45,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""jump"", ""long""]]","[""women"", false, false, [], [], [], [""jump"", ""long""]]",,,jump | long,jump | long,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
928,"4 × 100 metres Relay, Women (Olympic)",1025,"100 metres, Women (Olympic)",Athletics,Athletics,WOMEN,WOMEN,0.827586,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1928', 'Summer'), ('1932', 'Summer'), ('1936', 'Summer'), ('1948', 'Summer'), ('1952', 'Summer'), ('1956', 'Summer'), ('1960', 'Summer'), ('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",4 relay x,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [""relay""], [], [], [""metres"", ""x""]]","[""women"", false, false, [], [], [], [""metres""]]",relay,,metres | x,metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1017,"Javelin Throw, Women (Olympic)",2888,Women's Javelin Throw,Athletics,Athletics,WOMEN,WOMEN,0.541667,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""javelin"", ""throw""]]","[""women"", false, false, [], [], [], [""javelin"", ""throw""]]",,,javelin | throw,javelin | throw,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1018,"Heptathlon, Women (Olympic)",2787,Women's Heptathlon,Athletics,Athletics,WOMEN,WOMEN,0.47619,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""heptathlon""]]","[""women"", false, false, [], [], [], [""heptathlon""]]",,,heptathlon,heptathlon,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1024,"High Jump, Women (Olympic)",2986,Women's High Jump,Athletics,Athletics,WOMEN,WOMEN,0.45,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""high"", ""jump""]]","[""women"", false, false, [], [], [], [""high"", ""jump""]]",,,high | jump,high | jump,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1025,"100 metres, Women (Olympic)",1027,"100 metres Hurdles, Women (Olympic)",Athletics,Athletics,WOMEN,WOMEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,hurdles,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [], [], [], [""hurdles"", ""metres""]]",,,metres,hurdles | metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1026,"Discus Throw, Women (Olympic)",2847,Women's Discus Throw,Athletics,Athletics,WOMEN,WOMEN,0.521739,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""discus"", ""throw""]]","[""women"", false, false, [], [], [], [""discus"", ""throw""]]",,,discus | throw,discus | throw,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1029,"Marathon, Women (Olympic)",2866,Women's Marathon,Athletics,Athletics,WOMEN,WOMEN,0.421053,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""marathon""]]","[""women"", false, false, [], [], [], [""marathon""]]",,,marathon,marathon,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1030,"Shot Put, Women (Olympic)",2762,Women's Shot Put,Athletics,Athletics,WOMEN,WOMEN,0.421053,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [""shot""], [], [], [""put""]]","[""women"", false, false, [""shot""], [], [], [""put""]]",shot,shot,put,put,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1032,"Hammer Throw, Women (Olympic)",2872,Women's Hammer Throw,Athletics,Athletics,WOMEN,WOMEN,0.521739,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente3,,,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""hammer"", ""throw""]]","[""women"", false, false, [], [], [], [""hammer"", ""throw""]]",,,hammer | throw,hammer | throw,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1532,"100 metres Hurdles, Girls (YOG)",1565,"100 metres, Girls (YOG)",Athletics,Athletics,WOMEN,WOMEN,0.833333,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2010', 'Summer Youth')]",hurdles,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", true, false, [], [], [], [""girls"", ""hurdles"", ""metres""]]","[""women"", true, false, [], [], [], [""girls"", ""metres""]]",,,girls | hurdles | metres,girls | metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1559,"400 metres Hurdles, Girls (YOG)",1578,"400 metres, Girls (YOG)",Athletics,Athletics,WOMEN,WOMEN,0.833333,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2010', 'Summer Youth')]",hurdles,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", true, false, [], [], [], [""girls"", ""hurdles"", ""metres""]]","[""women"", true, false, [], [], [], [""girls"", ""metres""]]",,,girls | hurdles | metres,girls | metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1911,Athletics Women's 100 metres,1912,Athletics Women's 4 x 100 metres Relay,Athletics,Athletics,WOMEN,WOMEN,0.848485,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3 | fuente4,fuente2 | fuente3 | fuente4,"fuente4:[('1932', 'Summer')] | fuente2:[('1928', 'Summer'), ('1932', 'Summer'), ('1936', 'Summer'), ('1948', 'Summer'), ('1952', 'Summer'), ('1956', 'Summer'), ('1960', 'Summer'), ('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('1928', 'Summer'), ('1932', 'Summer'), ('1936', 'Summer'), ('1948', 'Summer'), ('1952', 'Summer'), ('1956', 'Summer'), ('1960', 'Summer'), ('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [""relay""], [], [], [""metres"", ""x""]]",,relay,metres,metres | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1911,Athletics Women's 100 metres,2236,Athletics Women's 100 metres Hurdles,Athletics,Athletics,WOMEN,WOMEN,0.875,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3 | fuente4,fuente2 | fuente3,"fuente2:[('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,hurdles,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [], [], [], [""hurdles"", ""metres""]]",,,metres,hurdles | metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1969,Athletics Women's Javelin Throw,2888,Women's Javelin Throw,Athletics,Athletics,WOMEN,WOMEN,0.807692,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""javelin"", ""throw""]]","[""women"", false, false, [], [], [], [""javelin"", ""throw""]]",,,javelin | throw,javelin | throw,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
1996,Athletics Women's Shot Put,2762,Women's Shot Put,Athletics,Athletics,WOMEN,WOMEN,0.761905,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [""shot""], [], [], [""put""]]","[""women"", false, false, [""shot""], [], [], [""put""]]",shot,shot,put,put,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2002,Athletics Women's Marathon,2866,Women's Marathon,Athletics,Athletics,WOMEN,WOMEN,0.761905,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""marathon""]]","[""women"", false, false, [], [], [], [""marathon""]]",,,marathon,marathon,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2044,"Athletics Women's 3,000 metres",2316,"Athletics Women's 3,000 metres Steeplechase",Athletics,Athletics,WOMEN,WOMEN,0.821918,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,,,steeplechase,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [], [], [], [""metres"", ""steeplechase""]]",,,metres,metres | steeplechase,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
2082,Athletics Women's Long Jump,2912,Women's Long Jump,Athletics,Athletics,WOMEN,WOMEN,0.772727,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""jump"", ""long""]]","[""women"", false, false, [], [], [], [""jump"", ""long""]]",,,jump | long,jump | long,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2129,Athletics Women's Discus Throw,2847,Women's Discus Throw,Athletics,Athletics,WOMEN,WOMEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""discus"", ""throw""]]","[""women"", false, false, [], [], [], [""discus"", ""throw""]]",,,discus | throw,discus | throw,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2139,Athletics Women's Pole Vault,2971,Women's Pole Vault,Athletics,Athletics,WOMEN,WOMEN,0.782609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""pole"", ""vault""]]","[""women"", false, false, [], [], [], [""pole"", ""vault""]]",,,pole | vault,pole | vault,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2145,Athletics Women's 4 x 400 metres Relay,2167,Athletics Women's 400 metres,Athletics,Athletics,WOMEN,WOMEN,0.848485,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",4 relay x,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [""relay""], [], [], [""metres"", ""x""]]","[""women"", false, false, [], [], [], [""metres""]]",relay,,metres | x,metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2167,Athletics Women's 400 metres,2177,Athletics Women's 400 metres Hurdles,Athletics,Athletics,WOMEN,WOMEN,0.875,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,hurdles,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""metres""]]","[""women"", false, false, [], [], [], [""hurdles"", ""metres""]]",,,metres,hurdles | metres,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2199,Athletics Women's High Jump,2986,Women's High Jump,Athletics,Athletics,WOMEN,WOMEN,0.772727,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""high"", ""jump""]]","[""women"", false, false, [], [], [], [""high"", ""jump""]]",,,high | jump,high | jump,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2280,Athletics Women's Heptathlon,2787,Women's Heptathlon,Athletics,Athletics,WOMEN,WOMEN,0.782609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""heptathlon""]]","[""women"", false, false, [], [], [], [""heptathlon""]]",,,heptathlon,heptathlon,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2370,Athletics Women's Triple Jump,2999,Women's Triple Jump,Athletics,Athletics,WOMEN,WOMEN,0.791667,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""jump"", ""triple""]]","[""women"", false, false, [], [], [], [""jump"", ""triple""]]",,,jump | triple,jump | triple,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2514,Athletics Women's Hammer Throw,2872,Women's Hammer Throw,Athletics,Athletics,WOMEN,WOMEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente3,,athletics,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [], [], [], [""hammer"", ""throw""]]","[""women"", false, false, [], [], [], [""hammer"", ""throw""]]",,,hammer | throw,hammer | throw,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
2730,Women's 100m,2864,Women's 100m Hurdles,Athletics,Athletics,WOMEN,WOMEN,0.75,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2020', 'Summer'), ('2024', 'Summer')]",,hurdles,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [""100m""], [], [""100m""]]","[""women"", false, false, [], [""100m""], [], [""100m"", ""hurdles""]]",,,100m,100m | hurdles,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2735,Women's 400m,2964,Women's 400m Hurdles,Athletics,Athletics,WOMEN,WOMEN,0.75,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2020', 'Summer'), ('2024', 'Summer')]",,hurdles,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [""400m""], [], [""400m""]]","[""women"", false, false, [], [""400m""], [], [""400m"", ""hurdles""]]",,,400m,400m | hurdles,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2759,Women's 4 x 100m Relay Team,2935,Women's 4 x 100m Relay,Athletics,Athletics,WOMEN,WOMEN,0.897959,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2020', 'Summer')]",team,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [""relay"", ""team""], [""100m""], [], [""100m"", ""x""]]","[""women"", false, false, [""relay""], [""100m""], [], [""100m"", ""x""]]",relay | team,relay,100m | x,100m | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2848,Women's 4 x 400m Relay Team,3001,Women's 4 x 400m Relay,Athletics,Athletics,WOMEN,WOMEN,0.897959,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2020', 'Summer')]",team,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [""relay"", ""team""], [""400m""], [], [""400m"", ""x""]]","[""women"", false, false, [""relay""], [""400m""], [], [""400m"", ""x""]]",relay | team,relay,400m | x,400m | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
24,"Singles, Men (Olympic)",35,"Singles, Men (Olympic (non-medal))",Badminton,Badminton,MEN,MEN,0.791667,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer'), ('1988', 'Summer')]",,medal non,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""singles""], [], [], []]","[""men"", false, true, [""singles""], [], [], [""medal""]]",singles,singles,,medal,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
