evento_origen,evento_canonico,regla_aplicada,confianza,evidencia
2909,54,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team, Men (Olympic) <-> Men's Team | Table Tennis / Table Tennis / MEN"
3052,1475,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Mixed (Olympic) <-> Mixed Doubles | Table Tennis / Table Tennis / MIXED"
2952,31,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Singles, Women (Olympic) <-> Women's Singles | Table Tennis / Table Tennis / WOMEN"
2693,37,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team, Women (Olympic) <-> Women's Team | Table Tennis / Table Tennis / WOMEN"
2897,1,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Singles, Men (Olympic) <-> Men's Singles | Tennis / Tennis / MEN"
3054,2,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Men (Olympic) <-> Men's Doubles | Tennis / Tennis / MEN"
3083,3,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Mixed (Olympic) <-> Mixed Doubles | Tennis / Tennis / MIXED"
2830,26,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Singles, Women (Olympic) <-> Women's Singles | Tennis / Tennis / WOMEN"
3075,27,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Women (Olympic) <-> Women's Doubles | Tennis / Tennis / WOMEN"
3106,1472,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Relay, Mixed (Olympic) <-> Mixed Relay | Triathlon / Triathlon / MIXED"
1903,211,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Tug-Of-War, Men (Olympic) <-> Tug-Of-War Men's Tug-Of-War | Tug-of-War / Tug-of-War / MEN"
2171,906,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Beach Volleyball, Men (Olympic) <-> Beach Volleyball Men's Beach Volleyball | Volleyball / Beach Volleyball / MEN"
2296,907,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Beach Volleyball, Women (Olympic) <-> Beach Volleyball Women's Beach Volleyball | Volleyball / Beach Volleyball / WOMEN"
2036,909,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Volleyball, Men (Olympic) <-> Volleyball Men's Volleyball | Volleyball / Volleyball / MEN"
2063,908,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Volleyball, Women (Olympic) <-> Volleyball Women's Volleyball | Volleyball / Volleyball / WOMEN"
