componente_evento,eventos_originales,evento_canonico,nombres,deporte,disciplina,fuentes,ediciones,participaciones_totales_afectadas,duplicados_preexistentes,extras_preexistentes,duplicados_inducidos_por_alias,extras_mergeables_inducidos,extras_conflictivos_inducidos,atletas_afectados,ediciones_afectadas,razon_semantica
EV500164,1475;3052,1475,"Doubles, Mixed (Olympic) | Mixed Doubles",table tennis,table tennis,fuente1 | fuente3,58;61,62,0,0,0,0,0,59,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500165,1494;2717,1494,"Team, Mixed (Olympic) | Mixed Team",judo,judo,fuente1 | fuente3,58;61,424,0,0,1,1,0,399,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500166,1600;2957,1600,"Madison, Women (Olympic) | Women's Madison",cycling,cycling track,fuente1 | fuente3,58;61,89,0,0,0,0,0,85,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500167,1677;2873,1677,"Park, Men (Olympic) | Men's Park",roller sports,skateboarding,fuente1 | fuente3,58;61,62,0,0,0,0,0,53,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500168,1878;2970,1878,"Park, Women (Olympic) | Women's Park",cycling,bmx freestyle,fuente1 | fuente3,58;61,29,0,0,0,0,0,24,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500169,1881;2992,1881,"Combined, Women (Olympic) | Women's Combined",sport climbing,sport climbing,fuente1 | fuente3,58,39,0,0,0,0,0,35,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500170,1882;2972,1882,"Street, Women (Olympic) | Women's Street",roller sports,skateboarding,fuente1 | fuente3,58;61,62,0,0,0,0,0,54,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500171,1883;2923,1883,"Park, Women (Olympic) | Women's Park",roller sports,skateboarding,fuente1 | fuente3,58;61,62,0,0,0,0,0,52,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500172,1885;2989,1885,"Park, Men (Olympic) | Men's Park",cycling,bmx freestyle,fuente1 | fuente3,58;61,30,0,0,0,0,0,26,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500173,1886;2994,1886,"Combined, Men (Olympic) | Men's Combined",sport climbing,sport climbing,fuente1 | fuente3,58,39,0,0,0,0,0,36,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500174,1888;2907,1888,"Street, Men (Olympic) | Men's Street",roller sports,skateboarding,fuente1 | fuente3,58;61,62,0,0,0,0,0,48,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500175,1894;2853,1894,"Kata, Men (Olympic) | Men's Kata",karate,karate,fuente1 | fuente3,58,22,0,0,0,0,0,22,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500176,1895;2867,1895,"Kata, Women (Olympic) | Women's Kata",karate,karate,fuente1 | fuente3,58,20,0,0,0,0,0,19,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
